Year,City,latitude,longitude
1896,athens,34.80243,-86.97219
1900,paris,48.85341,2.3488
1904,st. louis,38.62727,-90.19789
1908,london,42.98339,-81.23304
1912,stockholm,59.33258,18.0649
1920,antwerpen,51.21989,4.40346
1924,paris,48.85341,2.3488
1928,amsterdam,52.37403,4.88969
1932,los angeles,-37.46973,-72.35366
1936,berlin,52.52437,13.41053
1948,london,42.98339,-81.23304
1952,helsinki,60.16952,24.93545
1956,stockholm,59.33258,18.0649
1956,melbourne,-37.814,144.96332
1960,rome,34.25704,-85.16467
1964,tokyo,35.6895,139.69171
1968,mexico city,19.42847,-99.12766
1972,munich,48.13743,11.57549
1976,montreal,45.50884,-73.58781
1980,moscow,55.75222,37.61556
1984,los angeles,34.05223,-118.24368
1988,seoul,37.566,126.9784
1992,barcelona,41.38879,2.15899
1996,atlanta,33.749,-84.38798
2000,sydney,-33.86785,151.20732
2004,athens,39.32924,-82.10126
2008,beijing,39.9075,116.39723
2012,london,51.50853,-0.12574
2016,rio de janeiro,-22.90278,-43.2075
